Series	Categories	Values	Category_Num
gsk	Cycs	-0.3696936692145911	1016
oAB-gsk	Cycs	-0.34825108494715173	1016
oAB-gsk	Cycs	-0.47673165044067833	1016
oAB-gsk	Cycs	0.21995314335130256	1016
veh	Cyfip1	0.09555289735356373	1017
veh	Cyfip1	0.4281098868892792	1017
veh	Cyfip1	0.4676069152800408	1017
oAB	Cyfip1	0.2753926185352927	1017
oAB	Cyfip1	-0.1568017547420371	1017
oAB	Cyfip1	0.29941954966389434	1017
gsk	Cyfip1	-0.44356166641210665	1017
gsk	Cyfip1	0.131805989827684	1017
gsk	Cyfip1	-0.5323930847199593	1017
oAB-gsk	Cyfip1	-0.3840434610116534	1017
oAB-gsk	Cyfip1	-0.026843818363089605	1017
oAB-gsk	Cyfip1	-0.0012290635245001654	1017
veh	Cyfip2	-0.4755739460322079	1018
veh	Cyfip2	0.4158808251477378	1018
veh	Cyfip2	-0.10752178041284818	1018
oAB	Cyfip2	-0.15626476765528868	1018
oAB	Cyfip2	-0.23182175747406528	1018
oAB	Cyfip2	-0.17288459603817027	1018
gsk	Cyfip2	0.5244260539677922	1018
gsk	Cyfip2	0.4898027076079212	1018
gsk	Cyfip2	0.09242102264621811	1018
oAB-gsk	Cyfip2	-0.042438572217794054	1018
oAB-gsk	Cyfip2	-0.30398007094196666	1018
oAB-gsk	Cyfip2	-0.0837569801817693	1018
veh	Cyld	-0.391637236809994	1019
veh	Cyld	-0.20686145814301518	1019
veh	Cyld	0.06657732829916813	1019
oAB	Cyld	-0.0904133380658784	1019
oAB	Cyld	-0.3397162827233467	1019
oAB	Cyld	-0.6373118461382424	1019
gsk	Cyld	0.03275521066436243	1019
gsk	Cyld	0.2767632322775997	1019
gsk	Cyld	0.3626881538617575	1019
oAB-gsk	Cyld	0.3107734988565286	1019
oAB-gsk	Cyld	0.15485030520577914	1019
oAB-gsk	Cyld	-0.016574214650119583	1019
veh	Cyp20a1	-0.44008802233388394	1020
veh	Cyp20a1	-0.34431118937387095	1020
veh	Cyp20a1	-0.2700479753307896	1020
oAB	Cyp20a1	-0.4608946296048624	1020
oAB	Cyp20a1	0.5391053703951375	1020
oAB	Cyp20a1	0.42361775135190544	1020
gsk	Cyp20a1	0.538087228420248	1020
gsk	Cyp20a1	0.05066400237796943	1020
gsk	Cyp20a1	-0.37204796880823404	1020
oAB-gsk	Cyp20a1	0.30724235574799497	1020
oAB-gsk	Cyp20a1	-0.34238402243835997	1020
oAB-gsk	Cyp20a1	0.3598009290069639	1020
veh	Cyp39a1	-0.510147997395729	1021
veh	Cyp39a1	-0.0372712501275762	1021
veh	Cyp39a1	0.43393652150915846	1021
oAB	Cyp39a1	0.1167504463828214	1021
oAB	Cyp39a1	-0.03353613307970462	1021
oAB	Cyp39a1	0.489852002604271	1021
gsk	Cyp39a1	-0.16006343424411115	1021
gsk	Cyp39a1	0.1403825886782063	1021
gsk	Cyp39a1	-0.4742558998424455	1021
oAB-gsk	Cyp39a1	-0.13072032883618753	1021
oAB-gsk	Cyp39a1	0.17035684663171968	1021
oAB-gsk	Cyp39a1	-0.4196704882624839	1021
veh	Cyp46a1	-0.04692597980717342	1022
